Accession	Sample Name	SPUID	Organism	Tax ID	
SAMN42774847	MQ220615-267	MQ220615-267	activated sludge metagenome	942017	
SAMN42774848	MQ220615-268	MQ220615-268	activated sludge metagenome	942017	
SAMN42774849	MQ200330-7	MQ200330-7	wastewater metagenome	527639	
SAMN42774850	MQ200330-8	MQ200330-8	wastewater metagenome	527639	
SAMN42774851	MQ200330-13	MQ200330-13	wastewater metagenome	527639	
SAMN42774852	MQ200330-14	MQ200330-14	wastewater metagenome	527639	
SAMN42774853	MQ200330-25	MQ200330-25	wastewater metagenome	527639	
SAMN42774854	MQ200330-26	MQ200330-26	wastewater metagenome	527639	
SAMN42774855	MQ200330-33	MQ200330-33	wastewater metagenome	527639	
SAMN42774856	MQ200330-34	MQ200330-34	wastewater metagenome	527639	
SAMN42774857	MQ200330-37	MQ200330-37	wastewater metagenome	527639	
SAMN42774858	MQ200330-38	MQ200330-38	wastewater metagenome	527639	
SAMN42774859	MQ200330-47	MQ200330-47	wastewater metagenome	527639	
SAMN42774860	MQ200330-48	MQ200330-48	wastewater metagenome	527639	
SAMN42774861	MQ200330-53	MQ200330-53	wastewater metagenome	527639	
SAMN42774862	MQ200330-54	MQ200330-54	wastewater metagenome	527639	
SAMN42774863	MQ200330-55	MQ200330-55	wastewater metagenome	527639	
SAMN42774864	MQ200330-56	MQ200330-56	wastewater metagenome	527639	
SAMN42774865	MQ200330-57	MQ200330-57	wastewater metagenome	527639	
SAMN42774866	MQ200330-58	MQ200330-58	wastewater metagenome	527639	
SAMN42774867	MQ200330-59	MQ200330-59	wastewater metagenome	527639	
SAMN42774868	MQ200330-60	MQ200330-60	wastewater metagenome	527639	
SAMN42774869	MQ200330-69	MQ200330-69	wastewater metagenome	527639	
SAMN42774870	MQ200330-70	MQ200330-70	wastewater metagenome	527639	
SAMN42774871	MQ200330-71	MQ200330-71	wastewater metagenome	527639	
SAMN42774872	MQ200330-72	MQ200330-72	wastewater metagenome	527639	
SAMN42774873	MQ200330-73	MQ200330-73	wastewater metagenome	527639	
SAMN42774874	MQ200330-74	MQ200330-74	wastewater metagenome	527639	
SAMN42774875	MQ200420-3	MQ200420-3	wastewater metagenome	527639	
SAMN42774876	MQ200420-4	MQ200420-4	wastewater metagenome	527639	
SAMN42774877	MQ230313-65	MQ230313-65	wastewater metagenome	527639	
SAMN42774878	MQ230313-70	MQ230313-70	wastewater metagenome	527639	
SAMN42774879	MQ220615-238	MQ220615-238	activated sludge metagenome	942017	
SAMN42774880	MQ220615-239	MQ220615-239	activated sludge metagenome	942017	
SAMN42774881	MQ220615-240	MQ220615-240	activated sludge metagenome	942017	
SAMN42774882	MQ220615-242	MQ220615-242	activated sludge metagenome	942017	
SAMN42774883	MQ220615-243	MQ220615-243	activated sludge metagenome	942017	
SAMN42774884	MQ220615-244	MQ220615-244	activated sludge metagenome	942017	
SAMN42774885	MQ220615-245	MQ220615-245	activated sludge metagenome	942017	
SAMN42774886	MQ220615-246	MQ220615-246	activated sludge metagenome	942017	
SAMN42774887	MQ220615-247	MQ220615-247	activated sludge metagenome	942017	
SAMN42774888	MQ220615-249	MQ220615-249	activated sludge metagenome	942017	
SAMN42774889	MQ220615-250	MQ220615-250	activated sludge metagenome	942017	
SAMN42774890	MQ220615-251	MQ220615-251	activated sludge metagenome	942017	
SAMN42774891	MQ220615-252	MQ220615-252	activated sludge metagenome	942017	
SAMN42774892	MQ220615-254	MQ220615-254	activated sludge metagenome	942017	
SAMN42774893	MQ220615-255	MQ220615-255	activated sludge metagenome	942017	
SAMN42774894	MQ220615-256	MQ220615-256	activated sludge metagenome	942017	
SAMN42774895	MQ220615-257	MQ220615-257	activated sludge metagenome	942017	
